,카테고리,상품명,가격
0,라운드넥티셔츠,((단하루 10%+10%쿠폰)) 시크릿무드 역마진 파격SALE/바람막이/자켓/원피스/니트/팬츠 외 미시룩BEST,"9,900원"
1,바디케어,온더바디 발을씻자 코튼풋샴푸 자몽향 385ml 4개,"19,900원"
2,패밀리레스토랑,(빕스) 15 000원 스프링 바우처 / 3월 19일부터 사용가능,"1,500원"
3,런닝세트,(무료반품/9950원/5매)트라이 스탠다드 베이직 남성 5번들 런닝 무료배송 (10+5% 쿠폰),"11,700원"
4,초등참고서,키즈 원리셈/ 원리셈 세트,"41,310원"
5,전복,더줌 전복 11-13미 1kg 쿠폰가 23700,"39,500원"
6,유아동상하복세트,키즈꼬모x저스틴23 봄맞이 신상 등원룩/나들이룩 상하복세트 초특가전,"9,900원"
7,유아동티셔츠,10+5%쿠폰할인/24봄신상 신학기 한정수량 단독특가/가디건/상하복/원피스 외 1개만 사도 무배~,"10,900원"
8,기타수산가공식품,착한낙지 매콤~칼칼 착한낙지 135g x 6팩+비법소스 6팩,"23,920원"
9,기타생활잡화,2개 헤드앤숄더 클리니컬 스트렝스 비듬방지 샴푸 3종 초록 보라 주황 400ml,"30,570원"
